,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
SRX2568051,37745619.0,29766513.0,2453.0,379480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5189945.0,2395401.0,11827.0,78.86084210196685,37745619.0,37366139.0,98.99,379480.0,1.01,SRX2568051_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,37745619.0,0.0,20-100,41.0,12.100507737859314,98.73323931977376,pass,pass,,pass,fail,warn,pass,warn,fail,fail,pass,37749210,14519863,37749210.0,3774921000,1847864,3738253254,0.9713513474851526,,,0.0,0.8591,0.1409
SRX2568052,49593509.0,38000345.0,1499.0,523086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7650703.0,3403170.0,14706.0,76.62362628948075,49593509.0,49070423.0,98.95,523086.0,1.05,SRX2568052_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,49593509.0,0.0,20-100,41.0,10.793062565701083,98.74690443864336,pass,pass,,pass,fail,pass,pass,warn,fail,fail,pass,49598605,19296934,49598605.0,4959860500,2327743,4912478444,0.9553102551977016,,,0.0,0.8749,0.1251
SRX2568053,36012272.0,26915028.0,5863.0,1028132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4589915.0,3429481.0,43853.0,74.7384891461444,36012272.0,34984140.0,97.15,1028132.0,2.85,SRX2568053_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,36012272.0,0.0,20-100,40.0,15.591076011328852,98.52851355782272,pass,pass,,pass,fail,pass,pass,warn,fail,warn,pass,36015966,14564688,36015966.0,3601596600,2092477,3559862510,1.1587663648949469,,,0.0,0.6536,0.3464
SRX2568054,28353621.0,17035811.0,1026.0,2629734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6173960.0,2504505.0,8585.0,60.08336995123127,28353621.0,25723887.0,90.73,2629734.0,9.27,SRX2568054_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,28353621.0,0.0,20-100,39.0,19.16935503801788,97.67963640340682,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,28359439,13173621,28359439.0,2835943900,3552001,2779690330,1.983592482206718,,,0.0,0.7401,0.2599
SRX2568055,18447103.0,11914498.0,4532.0,289028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4385488.0,1848239.0,5318.0,64.58736637400463,18447103.0,18158075.0,98.43,289028.0,1.57,SRX2568055_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,18447103.0,0.0,20-100,41.0,15.187769237094123,98.00609179663604,pass,pass,,pass,fail,pass,pass,warn,fail,fail,pass,18455798,7709634,18455798.0,1845579800,1160729,1813890713,1.717026107459564,,,0.0,0.7574,0.2426
SRX2568056,29508268.0,21231090.0,1619.0,394965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5329434.0,2543151.0,8009.0,71.94963120166862,29508268.0,29113303.0,98.66,394965.0,1.34,SRX2568056_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,29508268.0,0.0,20-100,41.0,12.195962432969637,98.580242323948,pass,pass,,pass,fail,warn,pass,warn,fail,fail,pass,29513997,11565291,29513997.0,2951399700,1714976,2918049345,1.1299843596243504,,,0.0,0.8761,0.1239
SRX2568057,40805228.0,29259425.0,2545.0,723900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7321314.0,3487879.0,10165.0,71.70508886753433,40805228.0,40081328.0,98.23,723900.0,1.77,SRX2568057_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,40805228.0,0.0,20-100,41.0,10.92959275675457,97.95073842008676,pass,pass,,pass,fail,warn,pass,warn,fail,fail,pass,40816328,17299896,40816328.0,4081632800,2425364,4009914385,1.7571011042443605,,,0.0,0.9158,0.0842
SRX2568058,22589636.0,15860824.0,1620.0,295196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4378849.0,2046901.0,6246.0,70.21283565613895,22589636.0,22294440.0,98.69,295196.0,1.31,SRX2568058_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,22589636.0,0.0,20-100,41.0,13.145445752138428,98.67579459890368,pass,pass,,pass,fail,warn,pass,warn,fail,fail,pass,22593710,8812783,22593710.0,2259371000,1185914,2235989748,1.034856692415721,,,0.0,0.8821,0.1179
SRX2568059,3209581.0,2114979.0,1109.0,312923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476950.0,302219.0,1401.0,65.89579761345796,3209581.0,2896658.0,90.25,312923.0,9.75,SRX2568059_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3209581.0,0.0,20-101,39.0,26.723991170929807,97.26810945104673,pass,pass,fail,pass,warn,fail,pass,warn,fail,fail,pass,3243007,1499620,3243007.0,327543707,2169343,314326397,4.035281312853922,,,0.0,0.9338,0.0662
SRX2568060,3709600.0,2467949.0,2410.0,377258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527009.0,333330.0,1644.0,66.52870929480268,3709600.0,3332342.0,89.83,377258.0,10.17,SRX2568060_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3709600.0,0.0,20-101,39.0,25.247965117519023,96.86117694630148,pass,pass,fail,pass,warn,fail,pass,warn,fail,fail,pass,3744767,1785402,3744767.0,378221467,2413208,361727635,4.360892608985624,,,0.0,0.933,0.067
SRX2568061,7962953.0,5246496.0,20443.0,870119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131555.0,690801.0,3539.0,65.88631127171038,7962953.0,7092834.0,89.07,870119.0,10.93,SRX2568061_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7962953.0,0.0,20-101,39.0,17.392226007993397,97.21581528862473,pass,pass,fail,pass,warn,fail,pass,warn,fail,fail,pass,8048818,3799148,8048818.0,812930618,5434911,779408196,4.123651054314207,,,0.0,0.9374,0.0626
SRX2568062,10288776.0,4965101.0,2794898.0,710954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072831.0,742490.0,2502.0,48.25745064330297,10288776.0,9577822.0,93.09,710954.0,6.91,SRX2568062_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10288776.0,0.0,20-101,44.0,12.152404896843862,97.51002762622105,pass,pass,fail,pass,warn,warn,pass,warn,fail,fail,pass,10297275,4435444,10297275.0,1040024775,5672123,1010070369,2.8801627345848564,,,0.0,0.9592,0.0408
SRX2568063,20652383.0,512357.0,18704434.0,246179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077682.0,111460.0,271.0,2.4808614095525927,20652383.0,20406204.0,98.81,246179.0,1.19,SRX2568063_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,20652383.0,0.0,20-101,52.0,3.0601523565696667,92.60091777302408,pass,pass,fail,pass,fail,fail,pass,warn,fail,fail,pass,20706449,11621483,20706449.0,2091351349,10824818,1925203677,7.944512627179797,,,0.0,0.908,0.092
SRX2568064,5778510.0,4024506.0,57071.0,300275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913491.0,481122.0,2045.0,69.64608523650561,5778510.0,5478235.0,94.8,300275.0,5.2,SRX2568064_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5778510.0,0.0,20-101,41.0,11.281732209146169,95.52543787239271,pass,pass,fail,pass,fail,warn,pass,warn,fail,fail,pass,6140741,3016464,6140741.0,620214841,11158319,557057735,10.183101374705736,,,0.0,0.884,0.1159999999999999
SRX3141471,42015765.0,23226022.0,1378438.0,8929014.0,0.0,0.0,0.0,0.0,126359.0,0.0,0.0,0.0,0.0,7109148.0,1171551.0,75233.0,55.27930289975679,42015765.0,33086751.0,78.75,8929014.0,21.25,SRX3141471_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,42015765.0,0.0,20-151,45.0,12.061218540381534,138.50170480056713,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,42100091,20806294,42100091.0,6357113741,25599568,5849225073,7.989296537584162,0.4989,0.5011,0.0,,
SRX3141472,38012473.0,24154643.0,107176.0,4371048.0,0.0,0.0,0.0,0.0,93124.0,0.0,0.0,0.0,0.0,7955463.0,1285481.0,45538.0,63.543992520560295,38012473.0,33641425.0,88.5,4371048.0,11.5,SRX3141472_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,38012473.0,0.0,20-151,44.0,8.362080798058575,144.10038260336285,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,38527870,16596018,38527870.0,5817708370,83443134,5456309438,6.212049642495228,0.5014,0.4986,0.0,,
SRX3141473,40336651.0,27096325.0,186091.0,4486322.0,0.0,0.0,0.0,0.0,55439.0,0.0,0.0,0.0,0.0,7227058.0,1173638.0,111778.0,67.17544547761291,40336651.0,35850329.0,88.88,4486322.0,11.12,SRX3141473_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,40336651.0,0.0,20-151,44.0,8.047615278150392,147.6541993533375,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,40425765,15549104,40425765.0,6104290515,14904258,5959251147,2.376023350192729,0.5006,0.4994,0.0,,
SRX3141474,37275273.0,25192240.0,282569.0,4264198.0,0.0,0.0,0.0,0.0,66054.0,0.0,0.0,0.0,0.0,6258878.0,1100064.0,111270.0,67.5843205762705,37275273.0,33011075.0,88.56,4264198.0,11.44,SRX3141474_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,37275273.0,0.0,20-151,43.0,14.170524899352875,144.49023573885026,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,37365126,15883856,37365126.0,5642134026,16008456,5415118453,4.023576397757838,0.5123,0.4877,0.0,,
SRX3141475,37158895.0,23888111.0,84479.0,4356750.0,0.0,0.0,0.0,0.0,69665.0,0.0,0.0,0.0,0.0,7488805.0,1203970.0,67115.0,64.28638687991126,37158895.0,32802145.0,88.28,4356750.0,11.72,SRX3141475_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,37158895.0,0.0,20-151,44.0,10.759451737207034,145.14110220446543,pass,pass,,pass,fail,fail,pass,warn,fail,warn,pass,37261191,14621623,37261191.0,5626439841,55990275,5390017908,4.201980998307096,0.498,0.502,0.0,,
SRX3141476,38628134.0,25202706.0,98164.0,4973976.0,0.0,0.0,0.0,0.0,73876.0,0.0,0.0,0.0,0.0,6991599.0,1138659.0,149154.0,65.24443039366075,38628134.0,33654158.0,87.12,4973976.0,12.88,SRX3141476_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,38628134.0,0.0,20-151,44.0,9.513026886183166,145.35650658144658,pass,pass,,pass,fail,fail,pass,warn,fail,warn,pass,38709627,16050487,38709627.0,5845153677,15529948,5619403135,3.862183177292705,0.4965,0.5035,0.0,,
SRX3141477,31581894.0,20517280.0,346732.0,3917874.0,0.0,0.0,0.0,0.0,67870.0,0.0,0.0,0.0,0.0,5701500.0,934662.0,95976.0,64.96532475221403,31581894.0,27664020.0,87.59,3917874.0,12.41,SRX3141477_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31581894.0,0.0,20-151,44.0,14.795422432995888,144.34913064428625,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,31703711,13365659,31703711.0,4787260361,17068816,4586092538,4.202149200800487,0.4946,0.5054,0.0,,
SRX3141478,31235241.0,20027982.0,140197.0,3548275.0,0.0,0.0,0.0,0.0,65593.0,0.0,0.0,0.0,0.0,6337576.0,1037024.0,78594.0,64.11982542410989,31235241.0,27686966.0,88.64,3548275.0,11.36,SRX3141478_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31235241.0,0.0,20-151,44.0,14.241841933645544,144.96479108325113,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,31495668,12589266,31495668.0,4755845868,59688816,4525611257,4.841086473158176,0.5006,0.4994,0.0,,
SRX3141479,31463606.0,20012233.0,577618.0,5012626.0,0.0,0.0,0.0,0.0,145744.0,0.0,0.0,0.0,0.0,4632279.0,954907.0,128199.0,63.60438469767261,31463606.0,26450980.0,84.07,5012626.0,15.93,SRX3141479_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31463606.0,0.0,20-151,44.0,13.369708717004574,142.18946267633785,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,31523160,15436768,31523160.0,4759997160,45431116,4450666260,6.498552196615176,0.4976,0.5024,0.0,,
SRX3737100,13913028.0,3381660.0,62458.0,9775539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575980.0,113969.0,3422.0,24.30570829010048,13913028.0,4137489.0,29.74,9775539.0,70.26,SRX3737100_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,13913028.0,0.0,20-52,47.0,28.79304107379589,51.403713052255775,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,13929276,4531511,13929276.0,724322352,2947468,715226883,1.255721154384588,,,,,
SRX3737101,12107141.0,2834598.0,45974.0,8563931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556765.0,102951.0,2922.0,23.412612440872703,12107141.0,3543210.0,29.27,8563931.0,70.73,SRX3737101_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12107141.0,0.0,20-52,47.0,30.04909579902964,51.40287504704868,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,12121242,3930796,12121242.0,630304584,2586945,622380802,1.2571353915458752,,,,,
SRX3737102,10316430.0,379879.0,51911.0,9756081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115862.0,12318.0,379.0,3.682271871180244,10316430.0,560349.0,5.43,9756081.0,94.57,SRX3737102_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10316430.0,0.0,20-52,49.0,25.633114646521907,51.39161987237834,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,10330017,3265518,10330017.0,537160884,2451404,530216567,1.2927815868290216,,,,,
SRX3737103,16834482.0,846884.0,21131.0,15779536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157982.0,28166.0,783.0,5.030650779750752,16834482.0,1054946.0,6.27,15779536.0,93.73,SRX3737103_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,16834482.0,0.0,20-52,48.0,22.39657262247725,51.39793526168491,pass,pass,warn,pass,fail,pass,pass,warn,fail,warn,pass,16852191,5352492,16852191.0,876313932,3619361,865311234,1.2555657964821676,,,,,
SRX3737104,42543471.0,35541722.0,80988.0,2011811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3369722.0,1511562.0,27666.0,83.54213035414998,42543471.0,40531660.0,95.27,2011811.0,4.73,SRX3737104_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,42543471.0,0.0,20-52,41.0,13.471925342664182,51.50270120178958,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,42553622,15406285,42553622.0,2212788344,1881222,2191153246,0.9777301140736668,,,,,
SRX3737105,32960450.0,22668384.0,4442267.0,1292650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556006.0,983195.0,17948.0,68.7744979209932,32960450.0,31667800.0,96.08,1292650.0,3.92,SRX3737105_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,32960450.0,0.0,20-52,42.0,13.538876979863732,51.51122663677225,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,32968267,11603542,32968267.0,1714349884,1437626,1697872437,0.9611484303049074,,,,,
SRX3737106,36572161.0,28529694.0,137806.0,1706543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4949581.0,1225667.0,22870.0,78.00931971178842,36572161.0,34865618.0,95.33,1706543.0,4.67,SRX3737106_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,36572161.0,0.0,20-52,41.0,13.975671550384758,51.50813270235795,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,36582195,13104750,36582195.0,1902274140,1658478,1883810631,0.9706019028361496,,,,,
SRX3737107,44574665.0,35163591.0,229488.0,1869793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5850693.0,1433715.0,27385.0,78.88694396245042,44574665.0,42704872.0,95.81,1869793.0,4.19,SRX3737107_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,44574665.0,0.0,20-52,41.0,12.226172813930388,51.51010909448226,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,44585152,15919577,44585152.0,2318427904,1909659,2296096382,0.9632183067444656,,,,,
SRX3737108,31108042.0,11582038.0,65701.0,18188176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911686.0,353999.0,6442.0,37.231652188202645,31108042.0,12919866.0,41.53,18188176.0,58.47,SRX3737108_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31108042.0,0.0,20-52,46.0,15.221111850228189,51.52281355412856,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,31113686,10417775,31113686.0,1617911672,1270837,1602806652,0.9336121533339184,,,,,
SRX3737109,33309875.0,10647142.0,255721.0,21045870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030668.0,324394.0,6080.0,31.96392060912868,33309875.0,12264005.0,36.82,21045870.0,63.18,SRX3737109_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,33309875.0,0.0,20-52,46.0,14.047637310624392,51.52775448722039,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,33315744,10997791,33315744.0,1732418688,1375723,1716416034,0.9237174656938358,,,,,
SRX3737110,28948682.0,10100302.0,171532.0,16955908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356863.0,356497.0,7580.0,34.890369102123536,28948682.0,11992774.0,41.43,16955908.0,58.57,SRX3737110_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,28948682.0,0.0,20-52,46.0,16.34609366086914,51.52505378310487,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,28955236,9628387,28955236.0,1505672272,1297984,1491617564,0.9334506759117632,,,,,
SRX3737111,40360629.0,13598112.0,78829.0,24683887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551928.0,439817.0,8056.0,33.69152646258313,40360629.0,15676742.0,38.84,24683887.0,61.16,SRX3737111_trimmed.fq.gz,Conventional base calls,Sanger / Illumina 1.9,40360629.0,0.0,20-52,46.0,13.271836433972664,51.52714748325652,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,40367430,13399934,40367430.0,2099106360,1643036,2079707566,0.9241453586944494,,,,,
SRX4488546,42615965.0,28830597.0,16750.0,8054937.0,0.0,0.0,0.0,0.0,59202.0,0.0,0.0,0.0,0.0,3036771.0,2332229.0,285479.0,67.65210408822139,42615965.0,34561028.0,81.1,8054937.0,18.9,SRX4488546_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,42615965.0,0.0,20-76,39.0,25.60696130659479,74.66876627104419,pass,pass,,pass,fail,warn,pass,warn,fail,fail,pass,42833885,7076136,42833885.0,3230062624,26387436,3194900760,1.088581494945034,0.5526,0.4474,0.0,,
SRX4488547,36308174.0,24849511.0,4766.0,7952556.0,0.0,0.0,0.0,0.0,67619.0,0.0,0.0,0.0,0.0,1906375.0,1425363.0,101984.0,68.44054179094769,36308174.0,28355618.0,78.1,7952556.0,21.9,SRX4488547_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,36308174.0,0.0,20-76,37.0,24.675203905306,74.3265333585765,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,36498076,9202042,36498076.0,2740192920,10198113,2716329208,0.8708770767862578,0.5535,0.4465,0.0,,
SRX4488548,41907171.0,26993168.0,2414.0,7427738.0,0.0,0.0,0.0,0.0,62597.0,0.0,0.0,0.0,0.0,4986190.0,1982165.0,452899.0,64.41181152504902,41907171.0,34479433.0,82.28,7427738.0,17.72,SRX4488548_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,41907171.0,0.0,20-76,42.0,26.65881970114364,74.80469201798422,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,42072197,7312926,42072197.0,3172954269,7588208,3155708508,0.5435237806133033,0.5133,0.4867,0.0,,
SRX4488549,31364293.0,21568508.0,2588.0,5282160.0,0.0,0.0,0.0,0.0,43514.0,0.0,0.0,0.0,0.0,3218152.0,1164815.0,84556.0,68.76771620517636,31364293.0,26082133.0,83.16,5282160.0,16.84,SRX4488549_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,31364293.0,0.0,20-76,37.0,21.40195901180904,74.404560944511,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,31510285,3474199,31510285.0,2374464039,19570905,2350012509,1.0297704912935932,0.764,0.236,0.0,,
SRX4488550,28268089.0,3117964.0,4194.0,6721007.0,0.0,0.0,0.0,0.0,35235.0,0.0,0.0,0.0,0.0,18148865.0,201960.0,38864.0,11.029978008064148,28268089.0,21547082.0,76.22,6721007.0,23.78,SRX4488550_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,28268089.0,0.0,20-76,40.0,13.473759826542992,74.66339433132534,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,28537342,2259575,28537342.0,2148326177,35330374,2109790716,1.7937434926111782,0.5289,0.4711,0.0,,
SRX4488551,44381930.0,18186455.0,5076.0,8351085.0,0.0,0.0,0.0,0.0,58761.0,0.0,0.0,0.0,0.0,16324082.0,1190599.0,265872.0,40.97716120051562,44381930.0,36030845.0,81.18,8351085.0,18.82,SRX4488551_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,44381930.0,0.0,20-76,41.0,20.66962576188862,74.77277847087768,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,44649612,5436140,44649612.0,3366951057,31183452,3328756381,1.1343995013111947,0.5036,0.4964,0.0,,
SRX4488552,46407396.0,31725583.0,5088.0,6667856.0,0.0,0.0,0.0,0.0,91911.0,0.0,0.0,0.0,0.0,5572362.0,1849739.0,494857.0,68.36320443405185,46407396.0,39739540.0,85.63,6667856.0,14.37,SRX4488552_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,46407396.0,0.0,20-76,41.0,30.18959556463126,74.76797508741926,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,46598005,7418831,46598005.0,3516358253,7547923,3499251963,0.4864774510789871,0.8009999999999999,0.1989999999999999,0.0,,
SRX4488553,42406749.0,27166633.0,4011.0,7690530.0,0.0,0.0,0.0,0.0,91795.0,0.0,0.0,0.0,0.0,5311048.0,1642698.0,500034.0,64.06205059482394,42406749.0,34716219.0,81.86,7690530.0,18.14,SRX4488553_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,42406749.0,0.0,20-76,41.0,27.34954451938988,74.80133122206561,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,42565898,6478233,42565898.0,3211867545,20154525,3183693241,0.8771938321011927,0.7464,0.2536,0.0,,
SRX4488554,26918354.0,4766620.0,12905.0,7970018.0,0.0,0.0,0.0,0.0,41876.0,0.0,0.0,0.0,0.0,13087718.0,964759.0,74458.0,17.707694905862372,26918354.0,18948336.0,70.39,7970018.0,29.61,SRX4488554_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,26918354.0,0.0,20-76,39.0,16.73531116180571,74.54982351446897,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,27173653,6290613,27173653.0,2043964288,7743794,2028198832,0.7713175857600894,0.5123,0.4877,0.0,,
SRX4488555,40287428.0,27516310.0,19147.0,6744146.0,0.0,0.0,0.0,0.0,75347.0,0.0,0.0,0.0,0.0,3880629.0,1559011.0,492838.0,68.29999174928714,40287428.0,33543282.0,83.26,6744146.0,16.74,SRX4488555_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,40287428.0,0.0,20-76,42.0,26.314150947892408,74.85873334976856,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,40470036,6822706,40470036.0,3053334201,6574572,3037977368,0.5029529029272483,0.6889,0.3111,0.0,,
SRX4488556,46949632.0,17623551.0,9510.0,11963567.0,0.0,0.0,0.0,0.0,58320.0,0.0,0.0,0.0,0.0,14240514.0,2764260.0,289910.0,37.53714406110787,46949632.0,34986065.0,74.52,11963567.0,25.48,SRX4488556_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,46949632.0,0.0,20-76,40.0,21.426144215046484,74.65978076249884,pass,pass,,pass,fail,fail,pass,warn,fail,fail,pass,47226088,5787148,47226088.0,3561698402,34319927,3520020992,1.170155507175927,0.4247,0.5753,0.0,,
SRX4488557,35164967.0,19812048.0,11940.0,7311241.0,0.0,0.0,0.0,0.0,30177.0,0.0,0.0,0.0,0.0,4114543.0,3571977.0,313041.0,56.34030027669297,35164967.0,27853726.0,79.21,7311241.0,20.79,SRX4488557_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,35164967.0,0.0,20-76,41.0,27.277250998117992,74.54209668389565,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,35332616,7850364,35332616.0,2661157915,8923686,2641877284,0.7245203635350591,0.6178,0.3822,0.0,,
SRX5930997,18627176.0,17033863.0,3842.0,343118.0,0.0,0.0,0.0,0.0,8780.0,0.0,0.0,0.0,0.0,603510.0,597035.0,37028.0,91.44629867672909,18627176.0,18284058.0,98.16,343118.0,1.84,SRX5930997_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,18627176.0,0.0,20-101,41.0,9.326994473110632,99.31692007419694,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,18630824,7323277,18630824.0,1881713224,1701461,1861501782,1.0740978881487628,0.0996,0.9004,0.0,,
SRX5930998,15012838.0,12927789.0,571960.0,308104.0,0.0,0.0,0.0,0.0,7903.0,0.0,0.0,0.0,0.0,761435.0,417249.0,18398.0,86.11155998619316,15012838.0,14704734.0,97.95,308104.0,2.05,SRX5930998_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,15012838.0,0.0,20-101,41.0,10.450209345704122,99.21895340507903,pass,pass,,pass,fail,warn,pass,warn,fail,warn,pass,15016922,5612919,15016922.0,1516709122,481718,1500211293,1.0877384965051986,0.1704,0.8296,0.0,,
