	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1221050	5858262.0	17032.0	0.0	5835308.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4840.0	570.0	502.0	0.29073469230293897	5858262.0	22954.0	0.39	5835308.0	99.61	ERX1221050_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5858262.0	0.0	20-201	44.0	27.283786968539964	137.19017210223782	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5870390	5362097	5870390	1179948390	61591133	803739698	31.883487039632307					
ERX1221051																																											2505448	0	2505448	503595048	503595048	0	100.0					
ERX1221052	4971338.0	14740.0	0.0	4949790.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	5906.0	552.0	326.0	0.2964996546201445	4971338.0	21548.0	0.43	4949790.0	99.57	ERX1221052_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4971338.0	0.0	20-201	44.0	25.60493676951775	134.65582062615738	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	4977604	4582259	4977604	1000498404	38405133	669982242	33.03515134842734					
ERX1221053	3135563.0	10270.0	0.0	3118417.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	6236.0	427.0	205.0	0.3275328864385758	3135563.0	17146.0	0.55	3118417.0	99.45	ERX1221053_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3135563.0	0.0	20-201	43.0	34.72115325632091	133.70977843532407	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	3141059	2887693	3141059	631352859	38264432	419251339	33.59476669448328					
SRX1464764	4158290.0	45975.0	0.0	4041975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68068.0	1817.0	455.0	1.105622743964466	4158290.0	116315.0	2.8	4041975.0	97.2	SRX1464764_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4158290.0	0.0	20-323	45.0	46.69513911233007	122.17062013471883	pass	warn		pass	fail	warn	pass	warn	fail	fail	pass	4273230	1311039	4273230	526809883	14346064	510722902	3.0536596823867863	0.4502	0.5498	0.0		
SRX1928979	21744559.0	182568.0	0.0	21111078.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	444650.0	5877.0	386.0	0.8396031393416624	21744559.0	633481.0	2.91	21111078.0	97.09	SRX1928979_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21744559.0	0.0	20-126	42.0	14.31810985931626	119.85776083111182	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	21889610	11760243	21889610	2758090860	9252373	2604401597	5.572306018953996	0.2225	0.7775	0.0		
SRX1928980	19707504.0	57219.0	0.0	19334005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314357.0	1573.0	350.0	0.2903411817143358	19707504.0	373499.0	1.9	19334005.0	98.1	SRX1928980_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19707504.0	0.0	20-126	42.0	14.527839535201284	121.02976414466286	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	20605212	10781538	20605212	2596256712	33773736	2383308521	8.202123850686457					
SRX1928983	33057151.0	214042.0	0.0	31872424.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	960601.0	9601.0	483.0	0.6474907653112636	33057151.0	1184727.0	3.58	31872424.0	96.42	SRX1928983_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33057151.0	0.0	20-126	42.0	12.814731459048948	116.08590764521723	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	33081462	20895358	33081462	4168264212	10595555	3835066373	7.993683270862678	0.212	0.7879999999999999	0.0		
SRX2568047	19110287.0	451169.0	0.0	18298146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330447.0	30134.0	391.0	2.360869828904192	19110287.0	812141.0	4.25	18298146.0	95.75	SRX2568047_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19110287.0	0.0	20-100	41.0	17.769931769674272	98.31510620431813	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	19114714	7733572	19114714	1911471400	999475	1884920700	1.3890189515783495	0.6729999999999999	0.327	0.0		
SRX2568048	41768859.0	1477798.0	0.0	39433495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	778896.0	77257.0	1413.0	3.5380377520008386	41768859.0	2335364.0	5.59	39433495.0	94.41	SRX2568048_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41768859.0	0.0	20-100	41.0	12.582978066872089	98.00587643536059	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	41915939	17391557	41915939	4191593900	4476575	4106948969	2.019397227388846	0.6775	0.3225	0.0		
SRX2568049	24506239.0	521038.0	0.0	23668442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261181.0	30458.0	25120.0	2.1261442851349	24506239.0	837797.0	3.42	23668442.0	96.58	SRX2568049_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24506239.0	0.0	20-100	41.0	15.215280834782007	98.16560558313334	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	24534531	10011234	24534531	2453453100	1974551	2413532666	1.6271121710050216	0.6574	0.3426	0.0		
SRX2568050	26460092.0	1056023.0	0.0	25164134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202988.0	36517.0	430.0	3.9910027523713834	26460092.0	1295958.0	4.9	25164134.0	95.1	SRX2568050_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26460092.0	0.0	20-100	41.0	15.350976733150395	98.24803186625351	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	26476898	10636886	26476898	2647689800	1644807	2607871876	1.5038742076205454	0.8425	0.1575	0.0		
SRX2568051	37745619.0	1499324.0	0.0	35889508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293885.0	62187.0	715.0	3.972180188646528	37745619.0	1856111.0	4.92	35889508.0	95.08	SRX2568051_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37745619.0	0.0	20-100	41.0	12.100507737859314	98.73323931977377	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	37749210	14519863	37749210	3774921000	1847864	3738253254	0.9713513474851526	0.8591	0.1409	0.0		
SRX2568052	49593509.0	1891677.0	0.0	47201565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	426184.0	73449.0	634.0	3.8143640934945737	49593509.0	2391944.0	4.82	47201565.0	95.18	SRX2568052_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49593509.0	0.0	20-100	41.0	10.793062565701085	98.74690443864336	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	49598605	19296934	49598605	4959860500	2327743	4912478444	0.9553102551977016	0.8749	0.1251	0.0		
SRX2568053	36012272.0	664107.0	0.0	34776300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	508304.0	36406.0	27155.0	1.8441130290252168	36012272.0	1235972.0	3.43	34776300.0	96.57	SRX2568053_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36012272.0	0.0	20-100	40.0	15.591076011328852	98.52851355782272	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	36015966	14564688	36015966	3601596600	2092477	3559862510	1.1587663648949469	0.6536	0.3464	0.0		
SRX2568054	28353621.0	438568.0	0.0	27629622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259445.0	25758.0	228.0	1.5467795101020785	28353621.0	723999.0	2.55	27629622.0	97.45	SRX2568054_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28353621.0	0.0	20-100	39.0	19.169355038017876	97.67963640340682	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	28359439	13173621	28359439	2835943900	3552001	2779690330	1.9835924822067181	0.7401	0.2599	0.0		
SRX2568055	18447103.0	655211.0	0.0	17408102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350132.0	33226.0	432.0	3.5518368385540002	18447103.0	1039001.0	5.63	17408102.0	94.37	SRX2568055_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18447103.0	0.0	20-100	41.0	15.187769237094125	98.00609179663604	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	18455798	7709634	18455798	1845579800	1160729	1813890713	1.717026107459564	0.7574	0.2426	0.0		
SRX2568056	29508268.0	1348291.0	0.0	27839893.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277625.0	42027.0	432.0	4.569197351738842	29508268.0	1668375.0	5.65	27839893.0	94.35	SRX2568056_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29508268.0	0.0	20-100	41.0	12.195962432969635	98.580242323948	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	29513997	11565291	29513997	2951399700	1714976	2918049345	1.1299843596243504	0.8761	0.1239	0.0		
SRX2568057	40805228.0	1490334.0	0.0	38927649.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316004.0	70488.0	753.0	3.6523114146059914	40805228.0	1877579.0	4.6	38927649.0	95.4	SRX2568057_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40805228.0	0.0	20-100	41.0	10.92959275675457	97.95073842008676	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	40816328	17299896	40816328	4081632800	2425364	4009914385	1.7571011042443605	0.9158	0.0842	0.0		
SRX2568058	22589636.0	1025983.0	0.0	21318004.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212912.0	32411.0	326.0	4.541830598775474	22589636.0	1271632.0	5.63	21318004.0	94.37	SRX2568058_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22589636.0	0.0	20-100	41.0	13.145445752138428	98.67579459890369	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	22593710	8812783	22593710	2259371000	1185914	2235989748	1.034856692415721	0.8821	0.1179	0.0		
SRX2568059	3209581.0	113850.0	0.0	3076868.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12967.0	5861.0	35.0	3.547191985495926	3209581.0	132713.0	4.13	3076868.0	95.87	SRX2568059_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3209581.0	0.0	20-101	39.0	26.723991170929807	97.26810945104671	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass	3243007	1499620	3243007	327543707	2169343	314326397	4.035281312853922	0.9338	0.0662	0.0		
SRX2568060	3709600.0	103310.0	0.0	3588782.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11797.0	5676.0	35.0	2.7849363812810006	3709600.0	120818.0	3.26	3588782.0	96.74	SRX2568060_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3709600.0	0.0	20-101	39.0	25.247965117519026	96.86117694630148	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass	3744767	1785402	3744767	378221467	2413208	361727635	4.3608926089856235	0.9329999999999999	0.067	0.0		
SRX2568061	7962953.0	244099.0	0.0	7675810.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30746.0	12214.0	84.0	3.0654331376814605	7962953.0	287143.0	3.61	7675810.0	96.39	SRX2568061_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7962953.0	0.0	20-101	39.0	17.392226007993397	97.21581528862473	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass	8048818	3799148	8048818	812930618	5434911	779408196	4.123651054314207	0.937	0.063	0.0		
SRX2568062	10288776.0	324983.0	0.0	9922468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34066.0	7218.0	41.0	3.158616729531287	10288776.0	366308.0	3.56	9922468.0	96.44	SRX2568062_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10288776.0	0.0	20-101	44.0	12.152404896843862	97.51002762622105	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	pass	10297275	4435444	10297275	1040024775	5672123	1010070369	2.8801627345848564	0.9590000000000001	0.040999999999999995	0.0		
SRX2568063	20652383.0	32908.0	0.0	20614682.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4178.0	610.0	5.0	0.15934238678413046	20652383.0	37701.0	0.18	20614682.0	99.82	SRX2568063_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20652383.0	0.0	20-101	52.0	3.0601523565696667	92.60091777302408	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	20706449	11621483	20706449	2091351349	10824818	1925203677	7.9445126271797974	0.9083	0.0917	0.0		
SRX2568064	5778510.0	221024.0	0.0	5512490.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42349.0	2631.0	16.0	3.8249306482120815	5778510.0	266020.0	4.6	5512490.0	95.4	SRX2568064_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5778510.0	0.0	20-101	41.0	11.281732209146169	95.52543787239271	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	6140741	3016464	6140741	620214841	11158319	557057735	10.183101374705737	0.884	0.11599999999999999	0.0		
SRX3141471	42015765.0	1011619.0	0.0	40659237.0	0.0	0.0	0.0	0.0	2320.0	0.0	0.0	0.0	0.0	263433.0	74639.0	4517.0	2.407712914426288	42015765.0	1356528.0	3.23	40659237.0	96.77	SRX3141471_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42015765.0	0.0	20-151	45.0	12.061218540381534	138.50170480056713	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	42100091	20806294	42100091	6357113741	25599568	5849225073	7.989296537584162			0.0	0.4989	0.5011
SRX3141472	38012473.0	1173598.0	0.0	36313379.0	0.0	0.0	0.0	0.0	1710.0	0.0	0.0	0.0	0.0	440722.0	78924.0	4140.0	3.0874023902627963	38012473.0	1699094.0	4.47	36313379.0	95.53	SRX3141472_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38012473.0	0.0	20-151	44.0	8.362080798058575	144.10038260336285	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	38527870	16596018	38527870	5817708370	83443134	5456309438	6.212049642495228			0.0	0.5014	0.4986
SRX3141473	40336651.0	1123584.0	0.0	38846475.0	0.0	0.0	0.0	0.0	1225.0	0.0	0.0	0.0	0.0	266921.0	94664.0	3782.0	2.7855163285618327	40336651.0	1490176.0	3.69	38846475.0	96.31	SRX3141473_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40336651.0	0.0	20-151	44.0	8.047615278150392	147.6541993533375	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	40425765	15549104	40425765	6104290515	14904258	5959251147	2.376023350192729			0.0	0.5006	0.4994
SRX3141474	37275273.0	1119483.0	0.0	35765744.0	0.0	0.0	0.0	0.0	1508.0	0.0	0.0	0.0	0.0	298682.0	85092.0	4764.0	3.00328585118612	37275273.0	1509529.0	4.05	35765744.0	95.95	SRX3141474_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37275273.0	0.0	20-151	43.0	14.170524899352875	144.49023573885026	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	37365126	15883856	37365126	5642134026	16008456	5415118453	4.023576397757838			0.0	0.5123	0.4877
SRX3141475	37158895.0	1098814.0	0.0	35730976.0	0.0	0.0	0.0	0.0	1143.0	0.0	0.0	0.0	0.0	238926.0	85578.0	3458.0	2.9570685565326955	37158895.0	1427919.0	3.84	35730976.0	96.16	SRX3141475_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37158895.0	0.0	20-151	44.0	10.759451737207034	145.14110220446545	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	37261191	14621623	37261191	5626439841	55990275	5390017908	4.201980998307096			0.0	0.498	0.502
SRX3141476	38628134.0	939799.0	0.0	37377763.0	0.0	0.0	0.0	0.0	1515.0	0.0	0.0	0.0	0.0	225680.0	79173.0	4204.0	2.4329391629427404	38628134.0	1250371.0	3.24	37377763.0	96.76	SRX3141476_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38628134.0	0.0	20-151	44.0	9.513026886183166	145.35650658144658	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	38709627	16050487	38709627	5845153677	15529948	5619403135	3.8621831772927053			0.0	0.4965	0.5035
SRX3141477	31581894.0	940780.0	0.0	30345525.0	0.0	0.0	0.0	0.0	1400.0	0.0	0.0	0.0	0.0	213940.0	76194.0	4055.0	2.9788587093604963	31581894.0	1236369.0	3.91	30345525.0	96.09	SRX3141477_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31581894.0	0.0	20-151	44.0	14.795422432995887	144.34913064428625	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	31703711	13365659	31703711	4787260361	17068816	4586092538	4.202149200800487			0.0	0.4946	0.5054
SRX3141478	31235241.0	1083052.0	0.0	29797889.0	0.0	0.0	0.0	0.0	1575.0	0.0	0.0	0.0	0.0	257734.0	90450.0	4541.0	3.467404013306637	31235241.0	1437352.0	4.6	29797889.0	95.4	SRX3141478_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31235241.0	0.0	20-151	44.0	14.241841933645544	144.96479108325113	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	31495668	12589266	31495668	4755845868	59688816	4525611257	4.841086473158176			0.0	0.5006	0.4994
SRX3141479	31463606.0	804412.0	0.0	30251319.0	0.0	0.0	0.0	0.0	3014.0	0.0	0.0	0.0	0.0	339693.0	60475.0	4693.0	2.556642744636454	31463606.0	1212287.0	3.85	30251319.0	96.15	SRX3141479_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31463606.0	0.0	20-151	44.0	13.369708717004574	142.18946267633785	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	31523160	15436768	31523160	4759997160	45431116	4450666260	6.498552196615176			0.0	0.4976	0.5024
SRX3737104	42543471.0	462315.0	0.0	41762910.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286108.0	16334.0	15804.0	1.0866884838804056	42543471.0	780561.0	1.83	41762910.0	98.17	SRX3737104_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42543471.0	0.0	20-52	41.0	13.471925342664182	51.50270120178958	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	42553622	15406285	42553622	2212788344	1881222	2191153246	0.9777301140736668					
SRX3737105	32960450.0	291918.0	0.0	32391746.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255727.0	10354.0	10705.0	0.8856614518309065	32960450.0	568704.0	1.73	32391746.0	98.27	SRX3737105_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32960450.0	0.0	20-52	42.0	13.538876979863732	51.51122663677225	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	32968267	11603542	32968267	1714349884	1437626	1697872437	0.9611484303049074					
SRX3737106	36572161.0	374720.0	0.0	35816974.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354111.0	12965.0	13391.0	1.0246044798938734	36572161.0	755187.0	2.06	35816974.0	97.94	SRX3737106_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36572161.0	0.0	20-52	41.0	13.975671550384758	51.50813270235795	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	36582195	13104750	36582195	1902274140	1658478	1883810631	0.9706019028361496					
SRX3737107	44574665.0	449237.0	0.0	43682592.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410945.0	15602.0	16289.0	1.0078303448831305	44574665.0	892073.0	2.0	43682592.0	98.0	SRX3737107_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44574665.0	0.0	20-52	41.0	12.226172813930388	51.51010909448226	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	44585152	15919577	44585152	2318427904	1909659	2296096382	0.9632183067444656					
SRX4488546	42615965.0	7078401.0	0.0	33290134.0	0.0	0.0	0.0	0.0	16613.0	0.0	0.0	0.0	0.0	1161474.0	982533.0	86810.0	16.609740035219193	42615965.0	9325831.0	21.88	33290134.0	78.12	SRX4488546_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42615965.0	0.0	20-76	39.0	25.60696130659479	74.66876627104419	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	42833885	7076136	42833885	3230062624	26387436	3194900760	1.088581494945034			0.0	0.5526	0.4474
SRX4488547	36308174.0	975610.0	0.0	34791417.0	0.0	0.0	0.0	0.0	1628.0	0.0	0.0	0.0	0.0	444469.0	86675.0	8375.0	2.6870257920434115	36308174.0	1516757.0	4.18	34791417.0	95.82	SRX4488547_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36308174.0	0.0	20-76	37.0	24.675203905306002	74.3265333585765	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	36498076	9202042	36498076	2740192920	10198113	2716329208	0.8708770767862578			0.0	0.5535	0.4465
